,overspeed_cam_count,floating_pop_count,child_count,elem_kinder_count,width_nearby_count,num_cram_school_count,accident_type,law_break,특이사항,추천시설물
0,0,34.715833333333336,182.0,7,3.0,189,"['차대차 - 측면충돌', '차대차 - 측면직각충돌']","['신호위반', '기타']",근린공원 및 주거시설 근처/산업도로 가는길 인근(속도 높을것으로 예상됨)/관공서 근처/학교 근처,주정차 단속 카메라
1,0,528.7202083333334,182.0,9,4.0,206,['차대사람 - 횡단중'],['안전운전불이행'],근린공원 및 주거시설,시야방해 홍보물 단속(우회전시)
2,0,42.4575,182.0,9,4.0,0,[],[],사고 날만한게 없음/ 주택가 인근,주택가 근처 감속 표지판
3,0,186.1425,277.0,14,2.0,87,"['차대사람 - 횡단중', '차대사람 - 기타']","['안전운전불이행', '안전운전불이행']",주택가 클러스터 정중앙/ 많은 주정차 좁은 차도,과속방지턱/ 주정차 단속
4,0,390.89812499999994,24.0,1,1.0,17,['차대사람 - 기타'],['안전운전불이행'],감속 안해도 우회전 할 수 있는 구조/ 과속이나 겨울철 미끄럼방지 (코너링이 미끄러워 보임),코너에 과속방지턱/ 미끄럼 방지 포장
5,0,0.6147916666666667,258.0,0,2.0,0,['차대차 - 기타'],['안전운전불이행'],유동인구가 없는 도로여서 도로 환경 매우 열악,삼거리 진입전 과속방지턱/ 도로 안전선 페인팅 다시/ 삼거리 진입전 정지선 페인팅
6,0,54.96875,126.0,4,2.0,8,[],[],생활도로구역/ 2차선임에도 주정차가 많음(시야방해)/ 횡단보도와 거리가 멀고 감속 장치 없음,가드펜스/ 주정차 단속
7,0,79.51583333333333,126.0,0,4.0,0,[],[],매우 넓은 4거리,횡단보도 섬
8,0,64.13361111111111,422.0,7,2.0,25,"['차대차 - 정면충돌', '차대차 - 기타', '차대차 - 측면직각충돌', '차대사람 - 보도통행중']","['신호위반', '신호위반', '신호위반', '신호위반']",신호 받으려고 달리다가 늦게 멈춰서 횡단보도에 걸치는 경우 많아 보임/ 매우 혼잡한 4거리,과속방지카메라
9,0,358.189375,162.0,12,3.0,213,['차대사람 - 차도통행중'],['안전운전불이행'],다음 횡단보도까지 거리가 멀다,가드펜스
10,0,33.19527777777778,422.0,6,3.75,25,"['차대차 - 기타', '차대차 - 측면직각충돌', '차대차 - 추돌 - 주정차중']","['교차로운행방법위반', '안전운전불이행', '안전거리미확보']",매우 넓은 사거리,횡단보도 섬
11,0,184.71875,180.0,7,2.0,14,['차대차 - 측면직각충돌'],['신호위반'],마트 주차장 진입로,주차 차량 진입 통로와 인도 분리 필요
12,0,110.11,168.0,10,1.0,77,[],[],횡단보도가 없음,횡단보도 설치
13,0,614.4102777777779,168.0,1,2.0,54,['차대사람 - 횡단중'],['안전운전불이행'],교차로 진입로에 과속 방지턱 부재,과속 방지턱
14,0,178.97944444444445,162.0,12,3.0,175,['차대사람 - 횡단중'],['신호위반'],한쪽에만 가드펜스 있음,가드 펜스
15,0,16.271458333333335,139.0,3,2.0,29,[],[],주차장임/ 초등학교에서 3블록 거리(주택 있음),도로반사경
16,0,779.2172916666667,422.0,5,3.0,4,[],[],도로끝/인도와 합쳐지는 도로에 버스 정류장 위치하기에 진입하는 차량의 시야 차단 가능,횡단보도 설치/ 버스 정류장 이전
17,0,64.84694444444445,422.0,6,4.0,6,[],[],산업도로/ 횡단보도가 없고 육교만 존재,가드펜스
18,0,119.7286111111111,182.0,11,3.0,167,[],[],운암중학교에서 매우 멀지만 스쿨존/ 대부분 안전장비 갖춰짐/ 도로공사중,과속방지턱
19,0,196.46138888888888,168.0,7,3.0,60,[],[],아파트 단지 바로 앞/ 긴 횡단보도,보행자 신호등에 타이머
